audit_id,actor_user_id,actor_role,action_type,entity_type,entity_id,outcome,framework_tags,details,created_at
AU0118,U0012,Security Officer,system_access,session,U0012,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:28:50+00:00
AU0119,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:29:12+00:00
AU0120,U0006,Administrator,create,crane_outage,Co0002,Success,GDPR|IMO|Port Governance,Created crane outage record.,2026-04-26T20:30:25+00:00
AU0121,U0006,Administrator,create,crane_outage,C00002,Success,GDPR|IMO|Port Governance,Created crane outage record.,2026-04-26T20:30:46+00:00
AU0122,U0006,Administrator,create,crane_outage,CO0004,Success,GDPR|IMO|Port Governance,Created crane outage record.,2026-04-26T20:30:48+00:00
AU0123,U0006,Administrator,create,crane_outage,CO0005,Success,GDPR|IMO|Port Governance,Created crane outage record.,2026-04-26T20:31:28+00:00
AU0124,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:36:29+00:00
AU0125,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:39:33+00:00
AU0126,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:43:52+00:00
AU0127,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:50:26+00:00
AU0128,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:51:18+00:00
AU0129,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:54:25+00:00
AU0130,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:55:59+00:00
AU0131,U0006,Administrator,execute,operations_engine,recalculate,Success,GDPR|IMO|Port Governance,Ran operations recalculation.,2026-04-26T21:00:29+00:00
AU0132,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T21:01:51+00:00
AU0133,U0006,Administrator,update,notification_rule,qq,Success,GDPR|IMO|Port Governance,Updated notification rule.,2026-04-26T21:04:38+00:00
AU0134,U0006,Administrator,update,notification_rule,NR0006,Success,GDPR|IMO|Port Governance,Updated notification rule.,2026-04-26T21:05:31+00:00
AU0135,U0006,Administrator,update,notification_rule,NR0006,Success,GDPR|IMO|Port Governance,Updated notification rule.,2026-04-26T21:05:39+00:00
AU0136,U0006,Administrator,delete,notification_rule,NR0006,Success,GDPR|IMO|Port Governance,Deleted notification rule.,2026-04-26T21:05:44+00:00
AU0137,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T21:07:10+00:00
AU0138,U0006,Administrator,create,location,L0508,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T21:08:18+00:00
AU0139,U0006,Administrator,create,berth_allocation,BA0004,Success,GDPR|IMO|Port Governance,Created berth allocation record.,2026-04-26T21:09:00+00:00
AU0140,U0006,Administrator,delete,berth_allocation,BA0004,Success,GDPR|IMO|Port Governance,Deleted berth allocation record.,2026-04-26T21:09:18+00:00
AU0141,U0006,Administrator,create,notification_rule,NRTEST1,Success,GDPR|IMO|Port Governance,Created notification rule.,2026-04-26T21:14:50+00:00
AU0142,U0006,Administrator,delete,notification_rule,NRTEST1,Success,GDPR|IMO|Port Governance,Deleted notification rule.,2026-04-26T21:14:50+00:00
AU0143,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T21:16:16+00:00
AU0144,U0006,Administrator,create,notification_rule,NR0006,Success,GDPR|IMO|Port Governance,Created notification rule.,2026-04-26T21:16:56+00:00
AU0145,U0006,Administrator,delete,notification_rule,NR0006,Success,GDPR|IMO|Port Governance,Deleted notification rule.,2026-04-26T21:17:12+00:00
AU0146,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-04-26T21:21:29+00:00
AU0147,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-04-26T21:26:11+00:00
AU0148,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-04-26T21:26:27+00:00
AU0149,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T21:28:17+00:00
AU0150,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T21:30:36+00:00
AU0151,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-04-26T21:31:15+00:00
AU0152,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-04-26T21:31:31+00:00
AU0153,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-04-26T21:32:09+00:00
AU0154,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T21:39:30+00:00
AU0155,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-04-26T21:40:14+00:00
AU0156,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T21:49:36+00:00
AU0157,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-29T14:41:01+00:00
AU0158,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-09T22:57:57+00:00
AU0159,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-09T22:58:15+00:00
AU0160,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-09T23:05:01+00:00
